PolicyID,PolicyType,PremiumAmount,StartDate,EndDate,CustomerID
ad604840-fce8-4b3c-a144-d41f88eebc32,housing,1401,2014-01-08,2024-12-31,8721cc8a-84d3-43a5-9c09-a142acfeee48
f47aeeeb-c503-49a6-9b5e-4ed723f78bc4,housing,794,2007-04-04,2024-12-31,8721cc8a-84d3-43a5-9c09-a142acfeee48
0324b065-d3d2-4507-922d-6ae3752a6e01,cars,63,2018-08-20,2024-12-31,77a1b9ff-c6d7-4cab-854c-bb80a5a39e1f
ae6d20e8-c3e6-40e1-b605-c8991caa998b,health,263,2022-05-16,2024-12-31,77a1b9ff-c6d7-4cab-854c-bb80a5a39e1f
1c0fc3a1-cb48-40f8-a6d9-11c22f79beeb,cars,189,2021-02-06,2024-12-31,cd00eb22-d472-42da-b60e-6e70e099c3f6
cca178a7-c3a9-4232-8650-338fe1c9ee4b,health,143,2024-04-22,2024-12-31,cd00eb22-d472-42da-b60e-6e70e099c3f6
ba56676a-f75f-4fff-8dc0-93eeedb215a9,cars,76,2020-03-07,2024-12-31,cd00eb22-d472-42da-b60e-6e70e099c3f6
01bcdd2f-fb9e-4dbe-b323-8e47203d276b,cars,120,2016-07-09,2024-12-31,cd00eb22-d472-42da-b60e-6e70e099c3f6
353fb890-a1d5-437a-93ad-101af00d8250,health,209,2017-03-01,2024-12-31,fc6ae0ea-161e-481d-a950-ef64b6bf2da2
ad8792c4-0b88-4875-ac11-0514b486a0d7,health,127,2011-10-11,2022-08-07,fc6ae0ea-161e-481d-a950-ef64b6bf2da2
d988d131-0b11-42f9-b349-da89bd86db9b,housing,1323,2013-10-14,2024-12-31,fc6ae0ea-161e-481d-a950-ef64b6bf2da2
aff4ed4f-4754-4559-bee9-5abeec2884ab,cars,199,2020-12-04,2024-12-31,fc6ae0ea-161e-481d-a950-ef64b6bf2da2
c671782f-ff00-4e50-8b21-b12a5ef89484,health,185,2016-12-14,2019-06-24,125159ca-682c-4388-ad9f-d4a07518daae
f59840ad-509d-46dc-9350-047ccf1fa6a5,health,192,2016-12-24,2024-12-31,c95a1822-4e22-4f36-977e-1cd228563f44
55e70a5f-d8b8-4867-8292-41ac835bf634,health,119,2020-09-23,2024-12-31,c95a1822-4e22-4f36-977e-1cd228563f44
1fad7c0a-bb62-4606-a76b-825ab5b6e4cf,housing,664,2004-02-22,2024-12-31,a666fb9f-d8ba-44fe-841d-2770503b4810
132b2a0e-77e7-4388-8ade-d66b64f1e0f1,health,276,2012-12-30,2024-12-31,a666fb9f-d8ba-44fe-841d-2770503b4810
8c871096-d37f-4750-93ac-8f04b53f8010,cars,84,2014-07-08,2021-04-11,a666fb9f-d8ba-44fe-841d-2770503b4810
9b0dda0f-e9a9-4f0e-b0b8-c57dab6a7b1e,cars,56,2020-11-29,2024-12-31,f5c473b1-6805-4864-9b17-32142a7560da
c61da963-812b-4788-a40a-f844cc632307,cars,151,2009-03-04,2024-12-31,056965f6-104f-49d7-b127-d9a42f93e4c1
c6508752-955a-4046-93d2-c6f1cf0fa006,health,225,2022-01-04,2024-12-31,056965f6-104f-49d7-b127-d9a42f93e4c1
4fc157f9-db05-485f-8901-6020307712dd,cars,160,2015-07-06,2024-12-31,056965f6-104f-49d7-b127-d9a42f93e4c1
a4fe0ed4-635e-4fa4-abb9-04c18cd12d93,housing,1430,2002-06-25,2013-04-05,8d7d43d7-886f-40a3-9a62-ef2dac2153fa
d4b55478-de1e-473d-b5d2-62aa3d99d782,housing,891,2001-06-05,2017-04-22,8d7d43d7-886f-40a3-9a62-ef2dac2153fa
98ac0ce0-22df-4b81-8d45-813fb792335f,cars,115,2000-04-12,2005-04-08,efaa16ab-8986-4b14-943d-b3389c0ec2dc
9e7a3721-f2e1-4d53-916e-d8f444f38783,cars,96,2013-05-28,2021-07-14,2a660ca2-4d06-4e25-b898-0eaac2ed074a
ffa0d4cf-fbd0-4a4c-a4e5-056695317661,housing,1218,2017-01-12,2022-10-01,81da0da6-2f02-45fc-b342-5235d6f66cf8
e2e46292-4399-421e-a8d0-7decb1eb5241,housing,224,2017-07-14,2024-12-31,691e7f8f-ac47-47da-9101-80cd54a3e852
f805d297-32e3-43e3-99fa-294b7d5e51eb,health,253,2016-01-29,2018-03-25,f7398957-65f4-4ba4-b579-4e6ab82f8caf
325d745e-8f73-413b-b648-1a08a7e3f790,health,298,2003-01-10,2024-12-31,67f61f0f-b64f-4385-8bca-4427aa17294d
35a1b9ff-12a9-4cfb-8685-c8436bdbe6a1,cars,87,2022-04-28,2024-12-31,67f61f0f-b64f-4385-8bca-4427aa17294d
88200994-e4c8-4ba8-a669-763947ddc86c,cars,197,2009-03-27,2024-12-31,5d44f709-7ceb-4450-bb40-feb7df83fc82
4e17cc14-cf55-425b-a3be-c249cfd72b06,cars,76,2013-06-21,2024-12-31,5d44f709-7ceb-4450-bb40-feb7df83fc82
d76e603f-9513-444d-9d97-9ad8fcbbd7c1,health,130,2007-07-01,2020-07-31,5d44f709-7ceb-4450-bb40-feb7df83fc82
6f426672-a647-4e3d-9707-2cb350adcd50,health,273,2021-07-02,2024-03-14,27ed3093-9a24-4850-bdd1-41ef1b2a0042
90e9121b-d2d2-447d-8f06-ed79ab3e8a47,cars,116,2022-11-25,2024-12-31,27ed3093-9a24-4850-bdd1-41ef1b2a0042
7c419488-8b8f-4a43-b508-5b47e8a976e3,cars,109,2020-09-27,2024-12-31,27ed3093-9a24-4850-bdd1-41ef1b2a0042
c63926bc-26c0-40cb-a277-5048277f9732,housing,692,2021-02-22,2024-12-31,27ed3093-9a24-4850-bdd1-41ef1b2a0042
1ab8be55-d5c0-44c1-a1ed-065194740b3e,health,150,2016-12-04,2024-11-25,f97b577f-c240-4eae-a224-994033e0f314
2cd34f19-ff25-41e5-859d-d14d6642933a,housing,915,2022-10-03,2024-12-31,f97b577f-c240-4eae-a224-994033e0f314
87eb5784-c0a5-4fa1-bec5-a5b45d590f84,housing,1072,2010-08-10,2019-09-07,d0297ede-e5e8-4256-844c-addb166f96a0
192ef414-5e8d-455e-a429-68e9e1d62ce2,cars,108,2009-06-09,2024-12-31,d0297ede-e5e8-4256-844c-addb166f96a0
6a7d21ec-e6a5-4fa7-a8b5-c8be659b9784,housing,1231,2023-06-04,2024-12-31,0681c869-a98b-4fe5-864f-14cb307b40f4
20d00ad7-1ba0-4078-8254-1547d75c18f9,housing,1056,2022-01-29,2024-12-31,0681c869-a98b-4fe5-864f-14cb307b40f4
95f6c3e7-c519-46c2-99b9-5f0e4a18245f,cars,90,2023-04-20,2023-10-24,0681c869-a98b-4fe5-864f-14cb307b40f4
1a4b268b-f5af-4947-ae00-bc6467e3d02e,cars,125,2014-01-21,2024-12-31,605c2cca-4941-48eb-8d40-60747a97c3e1
