PolicyID,PolicyType,PremiumAmount,StartDate,EndDate,CustomerID
fbc0002a-d680-4fb1-b6cf-75894554cf2a,cars,149,1983-06-23,2017-07-27,8721cc8a-84d3-43a5-9c09-a142acfeee48
b008eb04-43d6-478f-a5c7-9e3a7a30c561,housing,321,1987-04-21,2024-01-23,8721cc8a-84d3-43a5-9c09-a142acfeee48
f8e44655-bdb2-4b26-b8d6-f95745a0e05c,health,111,1993-03-04,2022-09-10,52931afa-d630-4596-b426-d606df9b9382
82c545ae-dee9-4d79-83d9-c4fbc41012c2,housing,925,1969-05-11,2020-03-03,125159ca-682c-4388-ad9f-d4a07518daae
7103af23-b69b-40fa-8f7e-14dc0405856b,health,245,1999-11-02,2024-12-31,a666fb9f-d8ba-44fe-841d-2770503b4810
418d1911-11a1-4df7-b272-f8c86314b9ca,health,237,1955-03-03,2024-12-31,85f64a65-cc18-4bc4-ad4e-a65fece0f061
517fa1a3-f52a-42af-84ec-701595f82597,health,122,1968-01-13,2020-01-09,85f64a65-cc18-4bc4-ad4e-a65fece0f061
916ba702-0572-4079-8e74-f13dc9564e45,housing,1333,1950-09-24,2003-09-30,056965f6-104f-49d7-b127-d9a42f93e4c1
75f83de4-394e-453b-a8a1-8b61e5b3787c,health,221,1988-04-18,2003-12-29,8d7d43d7-886f-40a3-9a62-ef2dac2153fa
fbb1861b-d5e4-42f8-bbe9-4aeaf1923f82,health,166,1981-01-13,1998-02-09,50d6afe8-66cf-4ca5-9f26-a8f77c06ddee
bd6b1149-14fb-4bc1-9fd3-0aa8f5a2f149,health,255,1983-01-03,1985-09-06,50d6afe8-66cf-4ca5-9f26-a8f77c06ddee
cf1cfa8c-e632-4092-bed0-23bf68687b4d,health,215,1974-06-01,2019-10-17,efaa16ab-8986-4b14-943d-b3389c0ec2dc
97000589-fad2-4753-8892-24a4e1f4f471,cars,187,1998-05-15,2010-01-03,efaa16ab-8986-4b14-943d-b3389c0ec2dc
f241c00e-1a8a-4f12-9223-65083ba83073,health,144,1993-02-05,2020-11-23,2a660ca2-4d06-4e25-b898-0eaac2ed074a
3825ed33-7539-40ed-9266-88f08d8c9eca,cars,68,1993-06-30,2024-12-31,2a660ca2-4d06-4e25-b898-0eaac2ed074a
d3a97c0c-ab32-49ca-b34a-8f876a91755d,health,202,1980-07-16,1984-09-02,81da0da6-2f02-45fc-b342-5235d6f66cf8
a1b8f367-db94-4f4b-901a-d06defbf4455,housing,1457,1963-01-04,2018-07-31,cc375872-f968-49b1-9aa1-ccf699918c50
3f770a05-c4b8-4dbf-bd27-227abf96dd92,health,206,1982-04-17,2024-05-06,cc375872-f968-49b1-9aa1-ccf699918c50
d7c7fcdd-c358-47aa-af33-6871c9c3ab74,housing,803,1993-01-02,2024-12-31,f7398957-65f4-4ba4-b579-4e6ab82f8caf
75cd9cfd-d210-4ccd-820b-3463d13afb0e,housing,297,1999-03-20,2024-12-31,f7398957-65f4-4ba4-b579-4e6ab82f8caf
7c35dead-856a-4aa4-9397-7d91dd4f4116,cars,165,1981-02-08,2024-12-31,67f61f0f-b64f-4385-8bca-4427aa17294d
1e99a865-df37-4b55-bf32-b4267647a9a0,housing,826,1997-08-22,2016-09-20,5d44f709-7ceb-4450-bb40-feb7df83fc82
57812823-c61b-4e1b-abd5-12500e5e17b4,housing,830,1981-02-23,2001-04-22,8522298c-133e-4c19-a595-b88c4474c503
ee405b61-9700-4d98-89df-fe6d11a88f23,cars,146,1991-05-25,2024-12-31,8522298c-133e-4c19-a595-b88c4474c503
f0ad2955-9a08-46a5-8f4e-49e09f29c498,cars,122,1990-04-12,2024-12-31,749aca11-18a6-4d75-8f7a-0d2a967093d8
5647dbaf-def9-4fb6-84f5-f6fc1df59928,housing,1452,1989-09-10,2022-02-25,749aca11-18a6-4d75-8f7a-0d2a967093d8
ec1fc0a9-4039-4794-9bdc-d984cc638beb,cars,164,1981-03-13,1991-11-28,85c933b8-89e9-488c-8596-63413ba5922c
b23ba9cf-8842-45a5-89ba-f7b7e278d9c3,cars,85,1969-03-10,1978-12-05,2995cc41-9672-42fc-b5a8-cfba81d6a54e
19408cad-bd2f-4ac7-bc49-69bf222ce79c,health,142,1989-08-14,2024-12-31,2995cc41-9672-42fc-b5a8-cfba81d6a54e
36e64098-31c4-4b16-82cf-48cad489da8f,housing,407,1997-08-27,2009-12-09,c31c7255-1e56-442a-9c65-794f6e612945
b306cb88-c764-47bd-b560-6c1e87dda608,cars,155,1960-05-14,2024-12-31,00f9eea3-2e48-4c56-b5a3-060a833e7988
0f6e8023-0488-407f-be07-bc6c4818c46f,health,239,1960-12-18,1975-12-27,00f9eea3-2e48-4c56-b5a3-060a833e7988
c46e9ab2-175f-4268-9b81-4e279a0e0743,cars,98,1999-03-13,2021-10-09,b71a8ed0-d22b-4fd1-b7e7-148737a32661
15b53998-d125-4aac-b9db-226f13390ce6,cars,57,1991-12-26,2024-12-31,b71a8ed0-d22b-4fd1-b7e7-148737a32661
9dc7b680-60a4-4d60-87f3-b8120dc97382,health,115,1985-08-22,2024-12-31,b71a8ed0-d22b-4fd1-b7e7-148737a32661
46d1098e-e770-423d-a42c-67630b897bf5,cars,79,1987-06-18,2024-12-31,b71a8ed0-d22b-4fd1-b7e7-148737a32661
7bf5e8c1-19df-4103-adaa-8ea139f22ce8,health,182,1998-12-16,2024-12-31,2a8014f5-e348-4ba7-8e36-0ebc5615c5a8
d57a3f4c-d5cc-4933-8b04-b199041e08e2,housing,1495,1968-09-08,1996-11-01,2a8014f5-e348-4ba7-8e36-0ebc5615c5a8
e29dd303-db17-40d4-924e-a7a2017107ea,cars,63,1982-04-11,2009-01-24,fcafb082-7d1b-4135-bf73-8bf392a21621
5d344a25-7403-4478-813d-d371d90cf374,cars,190,1996-06-07,2006-07-11,c6683417-47ae-4448-830f-007edf4239db
b22a7beb-9d2f-4d0b-a19a-8301d391348e,health,171,1995-10-21,2024-12-31,c6683417-47ae-4448-830f-007edf4239db
3efa1c0a-15f2-4aa9-b1bf-9eeacbb56800,cars,81,1991-07-26,2007-09-28,c6683417-47ae-4448-830f-007edf4239db
1c5109f2-c9cc-478c-ad54-c7cd6a368ebe,cars,65,1978-09-24,2024-12-31,d8a257ae-658c-49e1-bf2b-3825bbf7814b
dec99d8f-b6f9-41b8-be21-441dfc212b85,housing,1056,1993-09-24,2008-05-31,34b47aff-bd87-45b6-abed-ffef944f7387
129f6759-a1cf-42d8-9c57-f8dff1404c8f,housing,1245,1964-09-29,2008-10-22,34b47aff-bd87-45b6-abed-ffef944f7387
57734c9e-42c5-48cc-b6b7-4bebf592d5d2,cars,140,1998-04-05,2008-06-08,a1e71006-3e70-4c5b-9901-905c219f2c3f
f8eee965-d127-4e5a-b3d2-863ccde6d519,health,146,1996-02-02,2024-12-31,a1e71006-3e70-4c5b-9901-905c219f2c3f
69a1ade8-1004-4e28-8331-b9651bf118c3,cars,119,1991-02-10,2006-03-30,274174ad-4b0b-4984-857a-c6ad004bac02
ee5b4fae-7d29-42d1-9b4c-3a27110cf024,housing,538,1999-01-18,2024-12-31,fc7e66bb-f8d6-48d8-ada3-4e99d9570df5
8f63ef41-be06-4fb2-9312-25d02fb601cf,health,160,1967-10-03,1968-03-25,df741482-041e-42e2-a5c7-bd97c01db23f
996bb304-b122-41a3-b6ef-9dd6db8756a9,cars,85,1963-05-22,1981-08-20,df741482-041e-42e2-a5c7-bd97c01db23f
34bce84c-411f-48cb-9c07-ed52890ced27,cars,157,1956-10-06,2010-10-27,df741482-041e-42e2-a5c7-bd97c01db23f
6a215a1e-aad5-4615-a744-62edbafd6206,cars,184,1985-10-24,2024-12-31,305d75c9-4882-40fb-af8f-d203c4893ec7
